"file","class","kind","method","visibility","static","start_line","end_line","loc","params","complexity_signal","risk_signal","doc_summary","db_read","db_write","transaction","mail","queue","storage","http_external","auth_session","translation","voyager","order_domain","payment","crm_sa","venipak","logging","env_direct","raw_sql"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","jsonEncode","private","0","562","567","6","1","1","0","@param array<string, mixed> $value @return string /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","suggestionIdentityQuery","private","0","575","591","17","3","2","0","@param \Illuminate\Database\Eloquent\Model $entity @param \App\Services\AltGeneration\ImageDescriptor $image @param string $locale @return \Illuminate\Database\Eloquent\Builder /","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","localesFromOption","private","0","597","613","17","1","3","0","@param string $locale @return array<int, string> /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","resolveModelOption","private","0","620","633","14","2","4","0","@param string $model @param array<string, mixed> $targets @return string /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","limitReached","private","0","638","641","4","0","1","0","@return bool /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","addDebugRow","private","0","651","670","20","5","1","0","@param \Illuminate\Database\Eloquent\Model $entity @param \App\Services\AltGeneration\ImageDescriptor $image @param array<string, mixed> $context @param string $locale @param string $action @return void /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","addDebugRowFromSuggestion","private","0","680","699","20","5","1","0","@param \App\Models\ImageAltSuggestion $suggestion @param \App\Services\AltGeneration\ImageDescriptor $image @param array<string, mixed> $context @param string $locale @param string $action @return void /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","hasColumn","private","0","706","711","6","2","1","0","@param \Illuminate\Database\Eloquent\Model $model @param string $column @return bool /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","imageHash","private","0","717","726","10","1","2","0","@param \App\Services\AltGeneration\ImageDescriptor $image @return string|null /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","targetForModel","private","0","733","746","14","2","4","0","@param string $modelClass @param array<string, mixed> $targets @return array<string, mixed> /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/Base64TxtToImage.php","App\Console\Commands\Base64TxtToImage","class","handle","public","0","30","88","59","0","9","5","Execute the console command. @return int /","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/Base64TxtToImage.php","App\Console\Commands\Base64TxtToImage","class","decodeBase64Image","private","0","90","117","28","1","6","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/Base64TxtToImage.php","App\Console\Commands\Base64TxtToImage","class","mimeToExtension","private","0","119","137","19","1","7","2","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/GenSmallImages.php","App\Console\Commands\GenSmallImages","class","__construct","public","0","44","47","4","0","1","0","Create a new command instance. @return void /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/GenSmallImages.php","App\Console\Commands\GenSmallImages","class","handle","public","0","59","118","60","0","5","4","Execute the console command. @return mixed /","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/GenerateWebpImagesCommand.php","App\Console\Commands\GenerateWebpImagesCommand","class","handle","public","0","25","92","68","0","8","4","@return int /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/OrderOverdueDelayNotifyCron.php","App\Console\Commands\OrderOverdueDelayNotifyCron","class","handle","public","0","29","34","6","0","1","0","Execute the console command. @return mixed /","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"app/Console/Commands/SendAbandonedCartsEmails.php","App\Console\Commands\SendAbandonedCartsEmails","class","handle","public","0","19","38","20","0","3","2","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"app/Console/Commands/SendAbandonedCartsEmailsCoupons.php","App\Console\Commands\SendAbandonedCartsEmailsCoupons","class","handle","public","0","20","58","39","0","4","3","","0","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0"
"app/Console/Commands/SeoMetaGenerateCommand.php","App\Console\Commands\SeoMetaGenerateCommand","class","__construct","public","0","40","50","11","3","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/SeoMetaGenerateCommand.php","App\Console\Commands\SeoMetaGenerateCommand","class","handle","public","0","52","131","80","0","9","4","","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/SeoMetaGenerateCommand.php","App\Console\Commands\SeoMetaGenerateCommand","class","resolveModelOption","private","0","133","150","18","1","5","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/SeoMetaGenerateCommand.php","App\Console\Commands\SeoMetaGenerateCommand","class","requestedLocales","private","0","155","174","20","0","4","0","@return array<int, string> /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/SeoMetaGenerateCommand.php","App\Console\Commands\SeoMetaGenerateCommand","class","localesNeedingValues","private","0","181","195","15","3","3","0","@param array<string, mixed> $target @param array<int, string> $locales @return array<int, string> /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/SeoMetaGenerateCommand.php","App\Console\Commands\SeoMetaGenerateCommand","class","hasValue","private","0","197","202","6","3","1","0","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
